com.mert.favorimekan.appid - 2018-12-12 - 2018-12-26 ve 2018-11-12 - 2018-11-26 için Android Sürümü bazında Kullanıcı bazında yükleme sayısı
,,Metrik,Kullanıcı bazında yükleme sayısı,Notlar
,,Boyut,Tüm Android sürümleri
Dönem,Tarih
2018-12-12 - 2018-12-26,2018-12-12,,3,"Rollout of release - Started rollout of 1.0 at 100%, Rollout of release - Started rollout of 1.0 at 100%"
2018-12-12 - 2018-12-26,2018-12-13,,-
2018-12-12 - 2018-12-26,2018-12-14,,-
2018-12-12 - 2018-12-26,2018-12-15,,-,Rollout of release - Started rollout of 1.3 at 100%
2018-12-12 - 2018-12-26,2018-12-16,,-
2018-12-12 - 2018-12-26,2018-12-17,,-
2018-12-12 - 2018-12-26,2018-12-18,,-
2018-12-12 - 2018-12-26,2018-12-19,,2
2018-12-12 - 2018-12-26,2018-12-20,,1
2018-12-12 - 2018-12-26,2018-12-21,,4
2018-12-12 - 2018-12-26,2018-12-22,,7
2018-12-12 - 2018-12-26,2018-12-23,,4
2018-12-12 - 2018-12-26,2018-12-24,,37,"Rollout of release - Started rollout of 1.0 at 100%, Rollout of release - Started rollout of 1.0 at 100%"
2018-12-12 - 2018-12-26,2018-12-25,,1
2018-12-12 - 2018-12-26,2018-12-26,,-
2018-11-12 - 2018-11-26,2018-11-12,,-
2018-11-12 - 2018-11-26,2018-11-13,,-
2018-11-12 - 2018-11-26,2018-11-14,,-
2018-11-12 - 2018-11-26,2018-11-15,,-
2018-11-12 - 2018-11-26,2018-11-16,,-
2018-11-12 - 2018-11-26,2018-11-17,,-
2018-11-12 - 2018-11-26,2018-11-18,,-
2018-11-12 - 2018-11-26,2018-11-19,,-
2018-11-12 - 2018-11-26,2018-11-20,,-
2018-11-12 - 2018-11-26,2018-11-21,,-
2018-11-12 - 2018-11-26,2018-11-22,,-
2018-11-12 - 2018-11-26,2018-11-23,,-
2018-11-12 - 2018-11-26,2018-11-24,,-
2018-11-12 - 2018-11-26,2018-11-25,,-
2018-11-12 - 2018-11-26,2018-11-26,,-
